,country,male_life_expectancy,female_life_expectancy,birth_rate,death_rate,stability,rights,health,safety,climate,costs,popularity,iq,education_expenditure_per_inhabitant,daily_max_temp,area,population,pop_per_km_sq,male_height,female_height,male_weight,female_weight,male_bmi,female_bmi
0,Hong Kong,82.9,88.0,5.8,6.8,77.0,85.0,100.0,97.0,49.0,61.0,52.0,108.0,915,26.2,,,,174.0,160.0,74.4,61.1,24.5,23.8
1,Iceland,81.7,84.5,12.3,7.8,82.0,92.0,87.0,97.0,7.0,36.0,33.0,101.0,"2,443",8.1,,,,181.0,168.0,89.2,72.6,27.1,25.6
2,Japan,81.6,87.7,6.8,8.8,87.0,86.0,92.0,97.0,54.0,27.0,41.0,105.0,"1,258",19.2,377970.0,125.68 M,332.5,172.0,158.0,69.5,54.8,23.6,21.9
3,Norway,81.6,84.9,9.8,9.8,89.0,99.0,90.0,99.0,17.0,42.0,37.0,99.0,"3,527",9.0,385203.0,5.41 M,14.0,180.0,166.0,89.1,72.6,27.4,26.2
4,Singapore,81.5,86.1,8.5,10.8,83.0,89.0,79.0,100.0,45.0,55.0,42.0,108.0,908,31.5,719.0,5.45 M,7584.9,173.0,161.0,72.8,60.2,24.3,23.2
5,Macao,81.4,87.3,10.7,4.1,90.0,71.0,100.0,93.0,48.0,61.0,50.0,101.0,628,26.0,,,,,,,,,
6,Australia,81.2,85.3,11.5,6.3,86.0,92.0,87.0,100.0,90.0,23.0,41.0,99.0,"1,390",24.4,7741220.0,25.74 M,3.3,179.0,165.0,88.3,72.6,27.7,26.8
7,Switzerland,81.1,85.2,9.9,8.8,91.0,99.0,93.0,99.0,34.0,44.0,40.0,102.0,"2,539",15.1,41290.0,8.70 M,210.6,179.0,164.0,85.5,63.9,26.8,23.8
8,Malta,80.8,84.6,8.6,7.9,86.0,72.0,91.0,92.0,75.0,41.0,44.0,97.0,619,23.1,320.0,0.52 M,1615.2,174.0,162.0,84.2,70.5,27.9,26.7
9,Israel,80.7,84.8,19.2,5.3,57.0,72.0,84.0,81.0,81.0,36.0,30.0,94.0,"1,226",25.4,22070.0,9.36 M,424.3,176.0,162.0,85.4,71.1,27.7,27.1
10,Sweden,80.7,84.2,10.9,9.5,87.0,99.0,85.0,96.0,20.0,40.0,37.0,99.0,"2,359",9.9,447430.0,10.42 M,23.3,180.0,167.0,87.1,70.5,26.8,25.4
11,South Korea,80.5,86.5,5.3,5.9,81.0,75.0,92.0,95.0,56.0,42.0,41.0,106.0,537,18.2,100339.0,51.74 M,515.7,175.0,163.0,74.7,61.0,24.4,23.1
12,Ireland,80.4,84.1,11.2,6.4,84.0,90.0,82.0,96.0,2.0,35.0,36.0,94.0,"1,635",13.2,70280.0,5.03 M,71.5,179.0,164.0,89.2,73.1,28.0,27.1
13,New Zealand,80.3,83.9,11.3,6.4,91.0,100.0,81.0,95.0,36.0,26.0,37.0,100.0,"1,283",17.3,267710.0,5.12 M,19.1,178.0,165.0,88.9,75.9,28.2,28.0
14,Italy,80.1,84.7,6.8,12.6,65.0,65.0,87.0,89.0,57.0,30.0,59.0,97.0,"1,175",17.8,301340.0,59.07 M,196.0,174.0,161.0,80.9,64.8,26.7,24.9
15,Netherlands,79.8,83.1,9.7,9.7,84.0,98.0,83.0,96.0,21.0,40.0,36.0,102.0,"1,701",14.4,41543.0,17.53 M,422.1,184.0,170.0,87.9,73.2,26.1,25.3
16,Canada,79.7,83.9,9.4,8.1,85.0,92.0,78.0,97.0,33.0,37.0,45.0,101.0,"1,661",7.3,9984670.0,38.25 M,3.8,178.0,165.0,87.3,72.4,27.4,26.7
17,Spain,79.7,85.1,7.1,10.4,64.0,73.0,87.0,95.0,74.0,43.0,68.0,97.0,885,21.0,505935.0,47.33 M,93.5,176.0,162.0,84.0,65.9,27.2,25.1
18,Denmark,79.6,83.6,10.4,9.4,86.0,100.0,85.0,95.0,17.0,35.0,41.0,99.0,"3,127",12.5,42920.0,5.86 M,136.5,182.0,169.0,86.8,70.2,26.3,24.6
19,Luxembourg,79.4,84.2,10.2,7.3,93.0,99.0,85.0,100.0,25.0,46.0,42.0,99.0,"2,310",14.6,2590.0,0.64 M,246.7,178.0,165.0,86.2,69.7,27.2,25.7
20,Finland,79.4,85.0,8.4,10.0,85.0,100.0,87.0,93.0,17.0,46.0,32.0,101.0,"1,990",8.2,338450.0,5.54 M,16.4,180.0,166.0,86.3,71.0,26.6,25.7
21,Qatar,79.3,82.1,9.2,1.3,77.0,60.0,62.0,94.0,61.0,70.0,38.0,78.0,"1,574",33.7,11610.0,2.93 M,252.4,173.0,160.0,85.7,77.6,28.8,30.2
22,France,79.2,85.3,10.9,9.9,72.0,83.0,91.0,93.0,41.0,29.0,71.0,98.0,"1,609",16.8,549087.0,67.50 M,122.9,178.0,164.0,82.6,66.0,26.0,24.4
23,United Kingdom,79.0,82.9,10.2,10.4,76.0,91.0,78.0,95.0,6.0,34.0,44.0,100.0,"1,455",12.9,243610.0,67.33 M,276.4,178.0,164.0,86.7,72.7,27.4,27.1
